carId, speed, brake, lap time, track position, RPM, lap count 
0,0.0,0.0,0,0.0,0.0,0
1,0.0,0.0,0,0.0,0.0,0
0,0.00031270264298655093,1.0,0,0.9964627623558044,1697.3887939453125,0
1,0.0008183112367987633,0.8424782752990723,0,0.9944997429847717,1697.3887939453125,0
0,5.015910210204311e-05,1.0,0,0.9964627623558044,2076.9736328125,0
1,6.0540918639162555e-05,0.8474219441413879,0,0.9944997429847717,2076.9736328125,0
0,5.008435550735157e-07,1.0,0,0.9964627623558044,3394.777587890625,0
1,4.161769902566448e-05,0.8499373197555542,0,0.9944997429847717,3394.777587890625,0
0,4.835080176235351e-07,1.0,0,0.9964627623558044,3573.8271484375,0
1,4.0574639569967985e-05,0.8499564528465271,0,0.9944997429847717,3573.8271484375,0
0,1.35873293061195e-07,1.0,0,0.9964627623558044,4003.239501953125,0
1,3.9416128856828436e-05,0.849991500377655,0,0.9944997429847717,4003.239501953125,0
0,6.178740363793622e-07,1.0,0,0.9964627623558044,4002.997802734375,0
1,3.9311467844527215e-05,0.8499920964241028,0,0.9944997429847717,4002.997802734375,0
0,6.884049525979208e-07,1.0,0,0.9964627623558044,4002.668701171875,0
1,3.900055889971554e-05,0.8499940037727356,0,0.9944997429847717,4002.668701171875,0
0,1.535947973252405e-07,1.0,0,0.9964627623558044,4002.300048828125,0
1,3.8191461499081925e-05,0.8499960899353027,0,0.9944997429847717,4002.300048828125,0
0,2.529342566504056e-07,1.0,0,0.9964627623558044,4002.14208984375,0
1,3.8544239941984415e-05,0.8499964475631714,0,0.9944997429847717,4002.14208984375,0
0,3.029630946116413e-08,1.0,0,0.9964627623558044,4001.89453125,0
1,3.797707904595882e-05,0.8499978184700012,0,0.9944997429847717,4001.89453125,0
0,2.9045088467682945e-07,1.0,0,0.9964627623558044,4001.686767578125,0
1,3.7977206375217065e-05,0.8499982357025146,0,0.9944997429847717,4001.686767578125,0
0,4.165248981280456e-07,1.0,0,0.9964627623558044,4001.482177734375,0
1,3.835345705738291e-05,0.8499984741210938,0,0.9944997429847717,4001.482177734375,0
0,1.293093987442262e-07,1.0,0,0.9964627623558044,4001.22900390625,0
1,3.829505658359267e-05,0.8499985933303833,0,0.9944997429847717,4001.22900390625,0
0,2.3742558141748304e-07,1.0,0,0.9964627623558044,4001.167236328125,0
1,3.770319017348811e-05,0.8499985933303833,0,0.9944997429847717,4001.167236328125,0
0,2.2600913496262365e-07,1.0,0,0.9964627623558044,4001.108154296875,0
1,3.798131365329027e-05,0.8499985933303833,0,0.9944997429847717,4001.108154296875,0
0,4.909602324687512e-08,1.0,0,0.9964627623558044,4001.07275390625,0
1,3.821558857453056e-05,0.8499985933303833,0,0.9944997429847717,4001.07275390625,0
0,1.3871175497115473e-07,1.0,0,0.9964627623558044,4001.03857421875,0
1,3.763679342227988e-05,0.8499985933303833,0,0.9944997429847717,4001.03857421875,0
0,1.3438193491310813e-07,1.0,0,0.9964627623558044,4000.9990234375,0
1,3.766337249544449e-05,0.8499985933303833,0,0.9944997429847717,4000.9990234375,0
0,7.295974313592524e-08,1.0,0,0.9964627623558044,4000.930908203125,0
1,3.796601595240645e-05,0.8499985933303833,0,0.9944997429847717,4000.930908203125,0
0,1.7266273744098726e-07,1.0,0,0.9964627623558044,4000.8837890625,0
1,3.827139880741015e-05,0.8499985933303833,0,0.9944997429847717,4000.8837890625,0
0,3.948440507883788e-07,1.0,0,0.9964627623558044,4000.83935546875,0
1,3.748504605027847e-05,0.8499985933303833,0,0.9944997429847717,4000.83935546875,0
0,2.647275607614574e-07,1.0,0,0.9964627623558044,4000.807373046875,0
1,3.733705307240598e-05,0.8499985933303833,0,0.9944997429847717,4000.807373046875,0
0,5.380145466915565e-07,1.0,0,0.9964627623558044,4000.776611328125,0
1,3.7379639252321795e-05,0.8499985933303833,0,0.9944997429847717,4000.776611328125,0
0,2.1410735939753067e-07,1.0,0,0.9964627623558044,4000.742431640625,0
1,3.803721483564004e-05,0.8499985933303833,0,0.9944997429847717,4000.742431640625,0
0,4.448359334219276e-07,1.0,0,0.9964627623558044,4000.7138671875,0
1,3.794901567744091e-05,0.8499985933303833,0,0.9944997429847717,4000.7138671875,0
0,2.5671616299405287e-07,1.0,0,0.9964627623558044,4000.68701171875,0
1,3.81070603907574e-05,0.8499985933303833,0,0.9944997429847717,4000.68701171875,0
0,5.847566058037046e-07,1.0,0,0.9964627623558044,4000.652099609375,0
1,3.75082490791101e-05,0.8499985933303833,0,0.9944997429847717,4000.652099609375,0
0,1.9322594368986756e-07,1.0,0,0.9964627623558044,4000.62744140625,0
1,3.738867599167861e-05,0.8499985933303833,0,0.9944997429847717,4000.62744140625,0
0,9.836699632614909e-08,1.0,0,0.9964627623558044,4000.607666015625,0
1,3.781396662816405e-05,0.8499985933303833,0,0.9944997429847717,4000.607666015625,0
0,5.0831609144097456e-08,1.0,0,0.9964627623558044,4000.58447265625,0
1,3.766225199797191e-05,0.8499985933303833,0,0.9944997429847717,4000.58447265625,0
0,4.103043238501414e-08,1.0,0,0.9964627623558044,4000.558837890625,0
1,3.7316793168429285e-05,0.8499985933303833,0,0.9944997429847717,4000.558837890625,0
0,3.0153867669469037e-07,1.0,0,0.9964627623558044,4000.5341796875,0
1,3.803043000516482e-05,0.8499985933303833,0,0.9944997429847717,4000.5341796875,0
0,7.504594918827934e-07,1.0,0,0.9964627623558044,4000.51025390625,0
1,3.775972072617151e-05,0.8499985933303833,0,0.9944997429847717,4000.51025390625,0
0,7.690911729696381e-08,1.0,0,0.9964627623558044,4000.494140625,0
